"Timestamp","1. W jaki sposób najczęściej korzystasz z komputera? (proszę zaznacz odpowiedź najbliższą prawdy)","2. Jakiego systemu operacyjnego używasz?","3. Czy instalujesz samodzielnie wszystkie programy na swoim komputerze?","4. Czy kiedykolwiek znalazłeś/aś zainstalowany program którego nie rozpoznałeś/aś?","5. Jak bardzo legalność oprogramowania na Twoim komputerze ma dla Ciebie znaczenie?","6. Jak bardzo licencja oprogramowania ma dla Ciebie znaczenie?","7. Jaki problem uważasz za najważniejszy dla Ciebie w kontekście licencji?","8. Jak wyszukujesz informacji o licencji oprogramowania zainstalowanego na Twoim komputerze?","9. Czy zdarza Ci się mieć problem ze znalezieniem licencji/gwarancji oprogramowania którego używasz?","10. Czy w dowolnej chwili jesteś w stanie zestawić terminy ważności licencji na każdy program którego używasz/masz zainstalowany na komputerze?"
"2018/04/03 10:41:13 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","mało ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:42:15 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:45:44 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:50:08 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji, ale gdybym miala to zrobić, szukałabym jej w internecie ","nie","nie"
"2018/04/03 10:51:05 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:54:05 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:54:26 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:59:44 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","mało ważne","nieważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 11:00:04 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:03:29 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","całkiem ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:04:56 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:05:15 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nigdy o tym nie myślałem","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 11:07:09 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 11:08:00 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:13:44 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:16:22 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 11:17:10 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 11:18:52 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:21:08 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nigdy o tym nie myślałem","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:22:20 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 11:23:14 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nieważne","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 11:23:57 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:26:22 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 11:33:12 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 11:33:26 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Mac","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nigdy o tym nie myślałem","nigdy o tym nie myślałem","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:36:49 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","przeglądam wpisy w ustawieniach danego programu","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 11:41:12 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 11:42:08 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","bardzo ważne","bardzo ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 11:42:32 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","bardzo ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 11:48:35 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nigdy o tym nie myślałem","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:51:23 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nigdy o tym nie myślałem","całkiem ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","nie","nie"
"2018/04/03 11:51:27 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","nieważne","nieważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 11:54:01 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 11:56:05 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","bardzo ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 11:56:28 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 11:58:27 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","tak, musiał to zainstalować ktoś inny, ale nie wiem dlaczego","całkiem ważne","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 12:08:18 AM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","przeglądam wpisy w ustawieniach danego programu","tak","nie"
"2018/04/04 12:11:03 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","nie"
"2018/04/04 12:11:19 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","nie"
"2018/04/04 12:11:20 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/04 12:12:49 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/04 12:15:07 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/04 12:21:18 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","nieważne","Licencje niektóych firm np. Microsoftu są niezgodne z prawem europejskim więc man je kolokwialnie mówiąc gdzieś. Ceny pakietu Office w różnych krajach są różne z czego w Polsce są jedne z najdroższych to też nie niezgodnie z licecją ale legalnie kupuje oprogramowanie microsoftu za granicą i korzystam z niego w Polsce. Nie widze powodu żeby tak biedny kraj jak Polska ( zarabiamy 1/4 tego co niemcy jakakolwiek dyskusja w tej sprawie nie ma sensu wiem o tym aż za dobrze poziom życia w Poslce jest jak na zachodnie normalne standardy tragiczny) ceny offica były wyższe niż w USA.","Wiem co instaluje","nie","tak, mam te dane spisane"
"2018/04/04 12:21:31 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","tak, musiał to zainstalować ktoś inny, ale nie wiem dlaczego","nigdy o tym nie myślałem","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/04 12:22:56 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Mac","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","bardzo ważne","całkiem ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","tak","nie"
"2018/04/04 12:23:27 AM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","bardzo ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","mam zapisane dane w pliku i je przeszukuję","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 12:25:28 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 12:26:47 AM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 12:29:25 AM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","nie, dzielę użytek komputera z inną osobą lub osobami","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/04 12:32:43 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","przeglądam wpisy w ustawieniach danego programu","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 12:32:57 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/04 12:41:11 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","tak","nie"
"2018/04/04 12:49:47 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","nie"
"2018/04/04 12:52:08 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 12:57:50 AM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 1:31:21 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 1:36:45 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/04 1:39:36 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 1:39:51 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 1:43:15 AM GMT+2","tworzę obrazy, muzykę, filmy","Windows","nie znam się na tym, proszę o pomoc inną osobę","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","nigdy o tym nie myślałem","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","Pozostawiam tę kwestię osobie, która zajmowała się uruchomieniem komputera - ja tylko.korzystam z trzech programow mi znanych, nie znam sie na reszcie.","nie","nie"
"2018/04/04 1:47:26 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Mac","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/04 1:50:27 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nieważne","nieważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","nie"
"2018/04/04 2:02:41 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","mam zapisane dane w pliku i je przeszukuję","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/04 2:31:09 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 2:31:10 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/04 2:34:00 AM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","mam zapisane dane w pliku i je przeszukuję","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/04 2:36:51 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/04 2:49:08 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/04 2:53:11 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","mam zapisane dane w pliku i je przeszukuję","tak","nie"
"2018/04/04 6:11:26 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/04 6:18:02 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 6:21:16 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","tak","nie"
"2018/04/04 6:55:14 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/04 6:58:19 AM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Mac","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","nie"
"2018/04/04 7:30:14 AM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Mac","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/04 8:01:14 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/04 8:02:53 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","nie"
"2018/04/04 8:04:20 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 8:07:37 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 8:08:23 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 8:16:39 AM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/04 8:25:40 AM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie, robi to administrator w firmie","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
